hora,tipo,critico,puerto,ip,anomaly,score,pais,fecha_registro
16,1,0,0,0.0.0.0,-1,-0.04655467873739361,Desconocido,2026-04-02 12:03:58
16,1,0,0,0.0.0.0,-1,-0.04655467873739361,Desconocido,2026-04-02 12:03:58
3,1,0,0,0.0.0.0,-1,-0.025963297355067638,Desconocido,2026-04-02 12:03:58
3,1,0,0,0.0.0.0,-1,-0.025963297355067638,Desconocido,2026-04-02 12:03:58
5,1,0,0,0.0.0.0,-1,-0.032413692423628904,Desconocido,2026-04-02 12:03:58
10,1,0,0,0.0.0.0,-1,-0.0230707307110809,Desconocido,2026-04-02 12:03:58
11,1,0,0,0.0.0.0,-1,-0.021999983206464346,Desconocido,2026-04-02 12:03:58
16,2,0,80,129.115.116.225,-1,-0.04299851795733434,United States,2026-04-02 12:03:58
16,2,0,80,129.115.116.225,-1,-0.04299851795733434,United States,2026-04-02 12:03:58
11,2,0,34736,192.168.1.235,-1,-0.019824057499932768,Desconocido,2026-04-02 12:03:58
11,2,0,34736,192.168.1.235,-1,-0.019824057499932768,Desconocido,2026-04-02 12:03:58
11,2,0,34736,192.168.1.235,-1,-0.019824057499932768,Desconocido,2026-04-02 12:03:58
11,2,0,34736,192.168.1.235,-1,-0.019824057499932768,Desconocido,2026-04-02 12:03:58
